key-name	alt-name	Reference
Tuna Nehri	Ab-ı Duna	
Sava Abı	Ab-ı Sava	
Karasu, Köstendil l.	Ab-ı Siyah	
Tuna Nehri	Ab-ı Tuna	
Debbağin m., Dimetoka nf., Dimetoka kz., Sağkol, Paşa l.	Abdal Cüneyd m.	
Uzun Yusuf k., Hırsova kz., Silistre l.	Abdiyurdu k.	
Arablı k., Lofça kz., Niğbolu l.	Ablaniçe k.	
Alibey m., Üsküb nf., Üsküb kz., Sağkol, Paşa l.	Abrıbey m.	
Yakubcu k., Filibe kz., Sağkol, Paşa l.	Abrıcı k.	
Mahmudlu k., Dimetoka n., Sağkol	Abrıfakih k.	
Ortabereketli k., Drama kz., Solkol, Paşa l.	Abrıobası/İncirobası k.	
Krayişte k., Tırnova kz., Niğbolu l.	Abrıoğlu k.	
Vinkara k., Görice kz., Solkol, Paşa l.	Absarı k.	
Okçular k., Üsküb kz., Sağkol, Paşa l.	Acaralar k.	
Donuzpınarı k., Silistre kz., Silistre l.	Acemhoca k.	
Emir Ali k., Hırsova kz., Silistre l.	Acıgöl k.	
Çakırlar k., Yenice-i Karasu kz., Solkol, Paşa l.	Acılar k.	
Selçukobası k., Filibe kz., Sağkol, Paşa l.	Adilobası k.	
Davud bin Adil md., Gelibolu nf., Gelibolu kz., Gelibolu l.	Adiloğlu md.	
Dimonada k., Apokrı n., Kerpiniş kz., Tırhala l.	Afrati k.	
Avşar	Afşar	
Kovaçkalta mz., Balyabadra kz., Mora l.	Agoli mz.	
Flo k., Fesleke n., Midilli kz., Rodos l.	Agrapa k.	
Kalakoç k., Filibe kz., Sağkol, Paşa l.	Ağaçköyü k.	
Kara Muin k., Müselleman-ı Çingane	Ağaçlıca k.	
Tokuşlar k., Üsküb kz., Sağkol, Paşa l.	Ağaköy k.	
Akça	Ağca	
Kutluca k., Tekfurdağı n., Tekfurdağı kz., Çirmen l., Müselleman-ı Çirmen	Ağca Halil k.	
Kozluca k., Silistre kz., Silistre l.	Ağcapınar k.	
Kadı k., Ferecik kz., Sağkol, Paşa l.	Ağrıcanbazarcuğu k.	
Yusuflu k., Karinovası kz., Silistre l.	Ağsak Halil k.	
Hırge k., Tırhala n., Tırhala kz., Tırhala l.	Ahilidis k.	
Uzunca Halil k., Yenice-i Karasu kz., Solkol, Paşa l.	Ahiobası k.	
Pandelimona k., Badracık n., Badracık kz., Tırhala l.	Ahiryan k.	
Hacı Hasan m., Üsküb nf., Üsküb kz., Sağkol, Paşa l.	Ahiryanoğlu m.	
Ahitoz k., Avlonar n., Agrıboz kz., Agrı-boz l.	Ahladi k.	
Hacı Mama çf., Doğan Arslan k., Bolayır, Gelibolu kz., Gelibolu l.	Ahmed bin Davud çf.	
Balaban çf., Doglod k., Brod n., Brod kz., Bosna l.	Ahmed-i Kosovik çf.	
Küçük Ahmed k., Yörükan-ı Kocacık	Ahmed-i Küçük k.	
Küçük Ahmed k., Yörükan-ı Tanrıdağı	Ahmed-i Küçük k.	
Küçük Ahmed/Küçükahmedli k., Yörükan-ı Selanik	Ahmed-i Küçük k.	
Rusikasrı k., Vize n., Vize l. 63	Ahmedbey k.	
Has Ahmedbey Hamamı, Gelibolu nf., Gelibolu kz., Gelibolu l.	Ahmedbey-i Has Hamamı	
Muradağa k., Filibe kz., Sağkol, Paşa l.	Ahmedbeyli k.	
Bektaşlı k., Kırkkilise kz., Vize l.	Ahmedce k.	
Muradeynobası k., Fenar n., Fenar kz., Tırhala l.	Ahmedciler k.	
Milvan k., Vardar n., Selanik kz., Solkol, Paşa l.	Ahmedli k.	
Leftokra k., Karaverye kz., Solkol, Paşa l.	Ahtomut k.	
Koca Mustafa md., Badracık nf., Badra-cık kz., Tırhala l.	Ak md.	
Çatalorman k., Hırsova kz., Silistre l.	Ak Resul k.	
Umurcalı k., Aydos kz., Silistre l.	Akalan k.	
Sarı Musa k., Varna kz., Silistre l.	Akarca Hoşkademkuyusu k.	
Ağca	Akça	
Mustafasofu çf., Zagorye n., Foça kz., Hersek l.	Akıncı çf.	
Hoca Ömer k., Yenice-i Karasu kz., Solkol, Paşa l.	Akıncılar k.	
Sülüklü k., Yenice-i Vardar kz., Solkol, Paşa l.	Akkeçili k.	
Samedfakih k., Keşan kz., Sağkol, Paşa l.	Akpınar k.	
Kavalari Kokla k., Kalavrita n., Kalavrita kz., Mora l.	Akrata k.	
Nezirci k., Yenice-i Vardar kz., Solkol, Paşa l.	Aksak Umur k.	
Kristali k., Koritos n., Koritos kz., Mora l.	Aksamil k.	
Nazırhacı k., Silivri kz., Vize l.	Akşehir k.	
Tataran-ı Bozapa k., Vize n., Vize l.	Aktarma k.	
Çalışlı k., Pınarhisar n., Vize l.	Akviran k.	
Çavdarlı k., Çirmen kz., Çirmen l.	Akviran k.	
Şeyhli k., Rusikasrı kz., Silistre l.	Akyar k.	
Esenli k., Dimetoka kz., Sağkol, Paşa l. 67	Alabayır k.	
Çerçi Murad m., Zağra-i Eski-hisar nf., Zağra-i Eskihisar kz., Sağkol, Paşa l.	Alacamescid m.	
Gölbaşı k., Karinovası kz., Silistre l.	Aladağlı k.	
Keçili k., Karinovası kz., Silistre l.	Aladağlı k.	
Mavros k., Koritos n., Koritos kz., Mora l.	Alaman k.	
İldutan k., Pınarhisar nf., Pınarhisar kz., Vize l.	Alaybeyi k.	
Tiloz cz., Rodos kz., Rodos l.	Aleksi cz.	
Kata Pigaki mz., Foniya, Koritos n., Koritos kz., Mora l.	Aleksi mz.	
İvaz k., Gümülcine kz., Solkol, Paşa l.	Ali k.	
Tophane m., Üsküb nf., Üsküb kz., Sağkol, Paşa l.	Ali Menteş m.	
İnöz k., Hasha-i İstanbul kz., Vize l.	Alibey k.	
Ejderli k., Kırkkilise kz., Vize l.	Alifakih k.	
Veled-i Danişmend k., Filibe kz., Sağkol, Paşa l.	Alifakih k.	
Karaağaç k., Prevadi kz., Silistre l.	Alihanfakih k.	
Alicikoğlu k., Hasköy n., Hasköy kz., Çirmen l.	Aliovası k.	
Karındaşımoğlu k., Eskihisar-ı Zağra n., Eskihisar-ı Zağra kz., Sağkol, Paşa l.	Alipaşa k.	
Alışık k., Pınarhisar n., Vize l.	Alişeyh k.	
Karıyaya n., Gelibolu kz., Gelibolu l.	Aliyyüddin niyabeti	
Manoloz k., Küreke n., Midilli kz., Rodos l.	Alpu k.	
Cami-i Cedid m., Edirne nf., Edirne kz., Sağkol, Paşa l.	Altuncu m.	
Karalar k., Yenişehir n., Yenişehir kz., Tırhala l.	Altunlar k.	
Lalacık k., Harala n., Mıgalkara kz., Gelibolu l.	Altuntaş k.	
Habil k., Gümülcine kz., Solkol, Paşa l.	Ana k.	
Ortapınar k., Silistre kz., Silistre l.	Anadolu k.	
Mustafa mz., Pre-vadi kz., Silistre l.	Anadolu Mehmedpınarı mz.	
Manolopulo dalyanı, Angeli-kasrı kz., Karlıili l.	Anastas İmre dalyanı	
Kato Gode k., Çitroz n., Karaverye kz., Solkol, Paşa l.	Anavaniçe k.	
Helvacı k., Gümülcine kz., Solkol, Paşa l.	Anbarköy k.	
Dıragıllı k., Filibe kz., Sağkol, Paşa l.	Anbarlı k.	
Klisura k., Koron n., Koron kz., Mora l.	Andreya Vitana k.	
Eksarho k., Livadiye n., Livadiye kz., Agrıboz l.	Andron k.	
Hüseyin bin Hasan zv., Dimit-roviçe nf., İzveçan n., Yenibazar kz., Bosna l.	Apardıçavuş zv.	
Papas k., Zağra-i Eskihisar kz., Sağkol, Paşa l.	Arabacı k.	
Tatar Ahmed k., Silistre kz., Silistre l.	Arabacı Mustafa k.	
Halilreis k., Filibe kz., Sağkol, Paşa l.	Arabköy k.	
Kalovine k., Silistre kz., Silistre l.	Arablar k.	
Dündar k., Harala n., Mıgalkara kz., Gelibolu l.	Arablı k.	
Karaca Halil k., Çorlu kz., Vize l.	Arablı k.	
Gorna Kruşoviçe k., Ürgüb n., Ürgüb kz., Alacahisar l.	Arbanaş k.	
Jedyançe k., İştib n., İştib kz., Kös-tendil l.	Arbanaş k.	
Suşiçe k., Ürgüb n., Ürgüb kz., Ala-cahisar l.	Arbanaş k.	
Petuşe k., Popol n., Yenibazar kz., Bosna l.	Arbulik k.	
Timurhanköyü mz., Keşan kz., Gelibolu l.	Ardukcuköyü mz.	
Argirikasrı, Argirikasrı kz., Avlonya l.	Argiri	
Argirikasrı, Argirikasrı kz., Avlonya l.	Argirokasrı	
Hohla k., Dömeke n., Çatalca kz., Tırhala l.	Argirya k.	
Nalband Hızır m., Mıgalkara nf., Mıgalkara kz., Gelibolu l.	Armağan m.	
Mümin k., Yanbolu kz., Silistre l.	Armağançi k.	
İstefanya k., Yenice-i Vardar kz., Solkol, Paşa l.	Armudluca k.	
Erikli k., Rusikasrı kz., Silistre l	Arnavud k.	
Kendanova k., Tırnova kz., Niğ-bolu l.	Arnavud Ali k.	
Bahadırlı k., Yanbolu kz., Silistre l.	Arnavudköy k.	
Baylova k., Tırnova kz., Niğbolu l.	Arnavudköy k.	
Sovucakpınarı k., Filibe kz., Sağkol, Paşa l.	Arnavudlar k.	
Çevişge k., Çatalca n., Çatalca kz., Tırhala l.	Arnavudlu k.	
Donuzviranı k., Rusikasrı kz., Silistre l.	Arpaç k.	
Pandayimat k., Kerpiniş n., Kerpiniş kz., Tırhala l.	Arya k.	
Goyniçe k., Kalavrita n., Kalavrita kz., Mora l.	Asani k.	
Hacı Musa k., Hasköy n., Hasköy kz., Çirmen l.	Asılbeyi k.	
Kayacık k., Pınarhisar n., Vize l.	Asılbeyli k.	
Kosta k., Prevadi kz., Silistre l.	Asılbeyli k.	
Has k., Edirne n., Edirne kz., Sağkol, Paşa l.	Asılhan k.	
Hacı Halil k., Dubniçe n., Ilıca kz., Köstendil l.	Asılhanar k.	
Kalivya k., Yenişehir n., Yenişehir kz., Tırhala l.	Asiyab-ı Ömerbey k.	
Amoryani k., Karavari n., Kerpiniş kz., Tırhala l.	Asproyani k.	
Belye k., Balyabadra kz., Mora l.	Asteri k.	
Silahdar Ali m., Pınarhisar nf., Pınar-hisar kz., Vize l.	Aşağı m.	
Kurbağareis k., Vize n., Vize l.	Aşağı Çeltükçü k.	
Dragoviçe k., Aydos bölgesi, Angelikasrı kz., Karlıili l.	Aşağıkarye k.	
Magula mz., Fenar n., Fenar kz., Tırhala l.	Aşçılar mz.	
