Placename@tr	Lead entry?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Sequence	Unit	StartDate	StartPeriod	EndDate	UnitNotes	belongsTo4	belongsTo3	belongsTo2	belongsTo1	belongsTo1_code
A’yuc	y	5000	اعيوج								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	 	 	Cezire	Bağdad	Bağdad	 
														2	Nahiye	 	 	 	 	 	 	 	Irak	 
A’zami̇ye	y	5001	اعظميه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	18. yy.	http://n2t.net/ark:/99152/p0pf2qbhtsm	 	 	 	 	Bağdad	Bağdad maa Şehrizor eyâleti	107
A’zaz	y	5002	اعزاز								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1517	http://n2t.net/ark:/99152/p0pf2qbznht	1865	 	 	 	Halep	Arap vilâyeti	103
														2	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Halep	Suriye vilâyeti	 
A’zaz Fellah	y	5003	اعزازفلاح								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Kilis	Halep	Halep vilâyeti	129
														2	Nahiye	 	 	 	 	 	 	Halep	Suriye	 
A’zaz Türkmen	y	5004	اعزازترکمان								http://www.geonames.org/ontology#A.ADMD			1	Kaza	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865	 	 	 	Kilis	Halep eyâleti	129
														2	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Kilis	Halep vilâyeti	 
														3	Nahiye	 	 	 	 	 	 	Halep	Suriye	 
Âb-ı Safi	n	5005	آب صافی	ALPSOFU		KARAPÜRÇEK					http://www.geonames.org/ontology#A.ADMD			1	Kaza	1871	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Kocaeli	Hudavendigâr eyâleti	133
														2	Nahiye	 	 	1954	 	 	 	Adapazarı	İzmit	 
														3	Nahiye	1954	Turkish Republic	 	 	 	 	Akyazı	Sakarya	 
