Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
A’YUC	اعيوج							Nahiye				Cezire	Bağdad	Bağdad	Nahiye						Irak																																																						
A’ZAMİYE	اعظميه							Kaza	18. yy.				Bağdad	Bağdad maa Şehrizor eyâleti																																																													
A’ZAZ	اعزاز							Nahiye	1517				Halep	Arap vilâyeti	Nahiye	1865				Halep	Suriye vilâyeti																																																						
A’ZAZ FELLAH	اعزازفلاح							Nahiye	1865			Kilis	Halep	Halep vilâyeti	Nahiye					Halep	Suriye																																																						
A’ZAZ TÜRKMEN	اعزازترکمان							Kaza	19. yy.				Kilis	Halep eyâleti	Nahiye	1865				Kilis	Halep vilâyeti	Nahiye					Halep	Suriye																																															
Âb-ı Safi	آب صافی	ALPSOFU	KARAPÜRÇEK					Kaza	1871				Kocaeli	Hudavendigâr eyâleti	Nahiye					Adapazarı	İzmit	Nahiye	1954				Akyazı	Sakarya																																															
ABADAN	عبادان						https://www.wikidata.org/wiki/Q63049	Şehir						Basra	Şehir	1847	Erzurum Antlaşmasıyla İran’a verildi.				İran																																																						
ABADYUT	آباديوت							Köy		Köyler grubu			Girit	Yunanistan																																																													
ABANA	آبانا	Keynolu, Evrenya	Aşağı Abana					Kaza	1841				Sinop	Kastamonu eyâleti	Nahiye	1865		İstefan	Sinop	Kastamonu	Kastamonu vilâyeti	Kaza	1945					Kastamonu	Nahiye	1953		Bozkurt	Kastamonu	Kastamonu	Kaza	1968				Kastamonu																																			
ABANO	آبانو						https://www.wikidata.org/wiki/Q34603	Şehir					Venedik	İtalya																																																													
ABBASİYE	عباسيه							Kasaba					Kayrevan	Tunus																																																													
ABDAL	آبدال							Kaza merkezi					Piraziz	Giresun																																																													
ABDÜLVEHHAB	عبدالوهاب							Sancak	1539					Yemen eyâleti																																																													
ABDURRAHMAN BEYOBASI	عبدالرحمن بک اوبه سی							Nahiye					Keskin	Ankara	Nahiye merkezi	1944			Balışeyh	Kırıkkale	Ankara	Kaza merkezi	1989				Balışeyh	Kırıkkale																																															
ABDURRAHMAN GAZİ	عبدالرحمن غازی							Nahiye		Kartal’ın nahiye dönemindeki adıdır.			Beykoz	İstanbul																																																													
ABES	عبس							Nahiye	1871			Hacur	Hudeyde	Yemen vilâyeti																																																													
ABGÛR	آبگور							Kaza		Çınar ilçe merkezinde kalmış olabilir			Diyarbakır	Diyarbakır eyâleti																																																													
ABHA	ابها						https://www.wikidata.org/wiki/Q190948	Sancak merkezi					Asir	Yemen vilâyeti																																																													
ABHAZ	ابخاز	Sohumkale, Kutayis						İtibari eyâlet	1578					Abhaz eyâleti	Muhtar idare	1804					Muhtar idare	Muhtar idare	1810	Son dönemde Mrk. “Kutayis” idi.)				Rusya yönetimi																																															
ABONİ	آبونی						https://www.wikidata.org/wiki/Q480421	Şehir						Macaristan																																																													
ABRENK	آبرنک							Nahiye	1877			Eğin	Mamûretülaziz	Mamûretülaziz vilâyeti	Köy				Merkez	Kemaliye	Erzincan																																																						
ABŞEKER	آب شکر							Nahiye merkezi				Akdemir	Pertek	Tunceli																																																													
ABUS	عبوس							Nahiye	1871			İbb	Taizz	Yemen vilâyeti																																																													
ABVİN	عبوين							Nahiye				Merkez	Kudüs	Filistin																																																													
ACACI	آجاجی	Acacıhüyük						Nahiye	~1530		Zile	Tokat	Sivas	Rum eyâleti	Köy				Merkez	Çekerek	Yozgat																																																						
ACAR	آجار	Svejen						Kaza merkezi				Karacadağ	Filibe	Bulgaristan	Köy				Karlıova	Filibe	Bulgaristan																																																						
ACARETEYN	آجارتين	Acara-i Ulyâ ve Acara-i Süfl.	ACARİSTAN					Sancak	1578					Çıldır eyâleti	Kaza	1828				Batum	Trabzon eyâleti	Kaza	1878				Batum	Rusya	Kaza					Gürcistan	Özerk bölge					Gürcistan																																			
ACIGÖL	آجی گول							Nahiye					Merkez	Nevşehir	Kaza	1990					Nevşehir																																																						
ACİLAT	عجيلات							Kaza					Trablusgarb	Libya																																																													
ACIPAYAM	آجی پايام	Asikaraağaç, Garbîkaraağaç						Kaza	~1530				Hamid	Anadolu eyâleti	Kaza	1888				Denizli	Aydın vilâyeti	Kaza	1924					Denizli																																															
ACIPINAR	آجی پيگار							Nahiye				Aksaray	Niğde	Konya vilâyeti	Nahiye	1933				Aksaray	Niğde	Nahiye	1989				Merkez	Aksaray																																															
ACİR	عجير							Nahiye				El-Hufûf	Necd-i Şerif	Basra																																																													
ACISU	آجی صو							Nahiye	1865			Zile	Tokat	Sivas vilâyeti	Köy				İğdir	Zile	Tokat																																																						
ACLUN	عجلون							Sancak	16. yy.					Şam eyâleti	Kaza	1865				Havran	Suriye vilâyeti	Kaza	1964				İrbit	Suriye																																															
ACLUN VE SALHAD	عجلون وصلحد							Sancak	1517					Arap vilâyeti																																																													
AÇMİYAÇİN	اچمياچين	Etchmiadzin						Kaza		Ermenilerin en eski ve kutsal saydıkları manastırı bu kazadadır. Diğerleri Türkiye’de Sis ve Ahtamar manastırlarıdır.			Erivan	Ermenistan																																																													
ACUR	عجور	Acur Kal‘a						Sancak	17. yy.					Şehrizor eyâleti																																																													
ACÛZE	عجوزه							Nahiye				Merkez	Musul	Diyarbakır eyâleti																																																													
ACYUD	آجيود	ADJUD					https://www.wikidata.org/wiki/Q357784	Şehir				Botine	Boğdan	Romanya																																																													
ADA	آطه							Nahiye	1865			Merkez	Edirne	Edirne vilâyeti	Köy				Küplü	Meriç	Edirne																																																						
ADA	آطه							Ada					Bakis	Macaristan																																																													
Adagide	آطه گيده	OVAKENT						Nahiye					Ödemiş	İzmir																																																													
ADAKALE	آطه قلعه							Kaza merkezi	1949				Ardanuç	Artvin																																																													
ADAKALESİ	آطه قلعه سی							Nahiye	1846			Merkez	Vidin	Vidin eyâleti																																																													
