1	12	İdârî Birimin Yeni Harflerle Adı	Eski Harflerle Adı	Unvani 1 raw	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli raw	Bagli 1 1	Bagli 1 2	Bagli 1 3	Bagli 1 4	Unvani 2 raw	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 raw	Bagli 2 1	Bagli 2 2	Bagli 2 3	Bagli 2 4	Unvani 3 raw	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 raw	Bagli 3 1	Bagli 3 2	Bagli 3 3	Bagli 3 4	Unvani 4 raw	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 raw	Bagli 4 1	Bagli 4 2	Bagli 4 3	Bagli 4 4	Unvani 5 raw	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 raw	Bagli 5 1	Bagli 5 2	Bagli 5 3	Bagli 5 4	Unvani 6 raw	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 raw	Bagli 6 1	Bagli 6 2	Bagli 6 3	Bagli 6 4	Unvani 7	Bagli 7	Unvani 8	Bagli 8	Unvani 9	Bagli 9	Unvani 10	Bagli 10	Unvani 11	Bagli 11	Unvani 12	Bagli 12	Unvani 13	Bagli 13	Unvani 14	Bagli 14
2	2	ABADAN	عبادان	Şehir	Şehir			Basra				Basra	Şehir	Şehir	1847	Erzurum Antlaşmasıyla İran’a verildi.	İran				İran																																																				
3	3	ABADYUT	آباديوت	Köy (Köyler grubu)	Köy		Köyler grubu	Girit>Yunanistan			Girit	Yunanistan																																																													
4	4	ABANA (Keynolu, Evrenya) (Aşağı Abana)	آبانا	Kaza (1841)	Kaza	1841		Sinop>Kastamonu eyâleti			Sinop	Kastamonu eyâleti	Nahiye (1865)	Nahiye	1865		İstefan>Sinop>Kastamonu>Kastamonu vilâyeti	İstefan	Sinop	Kastamonu	Kastamonu vilâyeti	Kaza (1945)	Kaza	1945		Kastamonu				Kastamonu	Nahiye (1953)	Nahiye	1953		Bozkurt>Kastamonu>Kastamonu		Bozkurt	Kastamonu	Kastamonu	Kaza (1968)	Kaza	1968		Kastamonu				Kastamonu																									
5	5	ABANO	آبانو	Şehir	Şehir			Venedik>İtalya			Venedik	İtalya																																																													
6	6	ABBASİYE	عباسيه	Kasaba	Kasaba			Kayrevan>Tunus			Kayrevan	Tunus																																																													
7	7	ABDAL	آبدال	Kaza Mrk.	Kaza merkezi			Piraziz>Giresun			Piraziz	Giresun																																																													
8	8	ABDURRAHMAN BEYOBASI	عبدالرحمن بک اوبه سی	Nahiye	Nahiye			Keskin>Ankara			Keskin	Ankara	Nahiye Mrk. (1944)	Nahiye merkezi	1944		Balışeyh>Kırıkkale>Ankara		Balışeyh	Kırıkkale	Ankara	Kaza Mrk. (1989)	Kaza merkezi	1989		Balışeyh>Kırıkkale			Balışeyh	Kırıkkale																																											
9	9	ABDURRAHMAN GAZİ	عبدالرحمن غازی	Nahiye (Kartal’ın nahiye dönemindeki adıdır.)	Nahiye		Kartal’ın nahiye dönemindeki adıdır.	Beykoz>İstanbul			Beykoz	İstanbul																																																													
10	10	ABDÜLVEHHAB	عبدالوهاب	Sancak (1539)	Sancak	1539		Yemen eyâleti				Yemen eyâleti																																																													
11	11	ABES	عبس	Nahiye (1871)	Nahiye	1871		Hacur>Hudeyde>Yemen vilâyeti		Hacur	Hudeyde	Yemen vilâyeti																																																													
12	12	ABGÛR	آبگور	Kaza (Çınar ilçe merkezinde kalmış olabilir)	Kaza		Çınar ilçe merkezinde kalmış olabilir	Diyarbakır>Diyarbakır eyâleti			Diyarbakır	Diyarbakır eyâleti																																																													
13	13	ABHA	ابها	Sancak Mrk.	Sancak merkezi			Asir>Yemen vilâyeti			Asir	Yemen vilâyeti																																																													
14	14	ABHAZ (Sohumkale, Kutayis)	ابخاز	İtibari eyâlet (1578)	İtibari eyâlet	1578		Abhaz eyâleti				Abhaz eyâleti	Muhtar idare (1804)	Muhtar idare	1804		Muhtar idare				Muhtar idare	Muhtar idare (1810)	Muhtar idare	1810	Son dönemde Mrk. “Kutayis” idi.)	Rusya yönetimi				Rusya yönetimi																																											
15	15	ABONİ	آبونی	Şehir	Şehir			Macaristan				Macaristan																																																													
16	16	ABRENK	آبرنک	Nahiye (1877)	Nahiye	1877		Eğin>Mam.retülaziz>Mam.retülaziz vilâyeti		Eğin	Mamûretülaziz	Mamûretülaziz vilâyeti	Köy	Köy			Merkez>Kemaliye>Erzincan		Merkez	Kemaliye	Erzincan																																																				
17	17	Âb-ı Safi (ALPSOFU) (KARAPÜRÇEK)	آب صافی	Kaza (1871)	Kaza	1871		Kocaeli>Hudavendigâr eyâleti			Kocaeli	Hudavendigâr eyâleti	Nahiye	Nahiye			Adapazarı>İzmit			Adapazarı	İzmit	Nahiye (1954)	Nahiye	1954		Akyazı>Sakarya			Akyazı	Sakarya																																											
18	18	ABŞEKER	آب شکر	Nahiye Mrk.	Nahiye merkezi			Akdemir>Pertek>Tunceli		Akdemir	Pertek	Tunceli																																																													
19	19	ABUS	عبوس	Nahiye (1871)	Nahiye	1871		İbb>Taizz>Yemen vilâyeti		İbb	Taizz	Yemen vilâyeti																																																													
20	20	ABVİN	عبوين	Nahiye	Nahiye			Merkez>Kudüs>Filistin		Merkez	Kudüs	Filistin																																																													
21	21	ACACI (Acacıhüyük)	آجاجی	Nahiye (~1530)	Nahiye	~1530		Zile>Tokat>Sivas>Rum eyâleti	Zile	Tokat	Sivas	Rum eyâleti	Köy	Köy			Merkez>Çekerek>Yozgat		Merkez	Çekerek	Yozgat																																																				
22	22	ACAR (Svejen)	آجار	Kaza Mrk.	Kaza merkezi			Karacadağ>Filibe>Bulgaristan		Karacadağ	Filibe	Bulgaristan	Köy	Köy			Karlıova>Filibe>Bulgaristan		Karlıova	Filibe	Bulgaristan																																																				
23	23	ACARETEYN (Acara-i Ulyâ ve Acara-i Süfl.) (ACARİSTAN)	آجارتين	Sancak (1578)	Sancak	1578		Çıldır eyâleti				Çıldır eyâleti	Kaza (1828)	Kaza	1828		Batum>Trabzon eyâleti			Batum	Trabzon eyâleti	Kaza (1878)	Kaza	1878		Batum>Rusya			Batum	Rusya	Kaza	Kaza			Gürcistan				Gürcistan	Özerk bölge	Özerk bölge			Gürcistan				Gürcistan																									
24	24	ACIGÖL	آجی گول	Nahiye	Nahiye			Merkez>Nevşehir			Merkez	Nevşehir	Kaza (1990)	Kaza	1990		Nevşehir				Nevşehir																																																				
25	25	ACIPAYAM (Asikaraağaç, Garbîkaraağaç)	آجی پايام	Kaza (~1530)	Kaza	~1530		Hamid>Anadolu eyâleti			Hamid	Anadolu eyâleti	Kaza (1888)	Kaza	1888		Denizli>Aydın vilâyeti			Denizli	Aydın vilâyeti	Kaza (1924)	Kaza	1924		Denizli				Denizli																																											
26	26	ACIPINAR	آجی پيگار	Nahiye	Nahiye			Aksaray>Niğde>Konya vilâyeti		Aksaray	Niğde	Konya vilâyeti	Nahiye (1933)	Nahiye	1933		Aksaray>Niğde			Aksaray	Niğde	Nahiye (1989)	Nahiye	1989		Merkez>Aksaray			Merkez	Aksaray																																											
27	27	ACISU	آجی صو	Nahiye (1865)	Nahiye	1865		Zile>Tokat>Sivas vilâyeti		Zile	Tokat	Sivas vilâyeti	Köy	Köy			İğdir>Zile>Tokat		İğdir	Zile	Tokat																																																				
28	28	ACİLAT	عجيلات	Kaza	Kaza			Trablusgarb>Libya			Trablusgarb	Libya																																																													
29	29	ACİR	عجير	Nahiye	Nahiye			El-Hufûf>Necd-i Şerif>Basra		El-Hufûf	Necd-i Şerif	Basra																																																													
30	30	ACLUN VE SALHAD	عجلون وصلحد	Sancak (1517)	Sancak	1517		Arap vilâyeti				Arap vilâyeti																																																													
