Placename@tr	Duplicate?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_start	Admin_unit_1_start_period	Admin_unit_1_stop	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_start	Admin_unit_2_start_period	Admin_unit_2_stop	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_start	Admin_unit_3_start_period	Admin_unit_3_stop	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_start	Admin_unit_4_start_period	Admin_unit_4_stop	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_start	Admin_unit_5_start_period	Admin_unit_5_stop	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_start	Admin_unit_6_start_period	Admin_unit_6_stop	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_start	Admin_unit_7_start_period	Admin_unit_7_stop	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_start	Admin_unit_8_start_period	Admin_unit_8_stop	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_start	Admin_unit_9_start_period	Admin_unit_9_stop	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_start	Admin_unit_10_start_period	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_start	Admin_unit_11_start_period	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_start	Belongs_to_14
A’YUC		5000	اعيوج								http://www.geonames.org/ontology#A.ADMD			Nahiye						Cezire	Bağdad	Bağdad		Nahiye								Irak																																																																						
A’ZAMİYE		5001	اعظميه								http://www.geonames.org/ontology#A.ADMD			Kaza	18. yy.	http://n2t.net/ark:/99152/p0pf2qbhtsm					Bağdad	Bağdad maa Şehrizor eyâleti	107																																																																															
A’ZAZ		5002	اعزاز								http://www.geonames.org/ontology#A.ADMD			Nahiye	1517	http://n2t.net/ark:/99152/p0pf2qbznht	1865				Halep	Arap vilâyeti	103	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts					Halep	Suriye vilâyeti																																																																						
A’ZAZ FELLAH		5003	اعزازفلاح								http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Kilis	Halep	Halep vilâyeti	129	Nahiye							Halep	Suriye																																																																						
A’ZAZ TÜRKMEN		5004	اعزازترکمان								http://www.geonames.org/ontology#A.ADMD			Kaza	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865				Kilis	Halep eyâleti	129	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts					Kilis	Halep vilâyeti	Nahiye							Halep	Suriye																																																													
Âb-ı Safi		5005	آب صافی	ALPSOFU		KARAPÜRÇEK					http://www.geonames.org/ontology#A.ADMD			Kaza	1871	http://n2t.net/ark:/99152/p0pf2qbtdts					Kocaeli	Hudavendigâr eyâleti	133	Nahiye			1954				Adapazarı	İzmit	Nahiye	1954	Turkish Republic					Akyazı	Sakarya																																																													
ABADAN		10000	عبادان								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q63049	Şehir			1847					Basra		Şehir	1847	http://n2t.net/ark:/99152/p0pf2qb8jmh		Erzurum Antlaşmasıyla İran’a verildi.				İran																																																																						
ABADYUT		20195	آباديوت									Not		Köy				Köyler grubu			Girit	Yunanistan																																																																																
ABANA		5006	آبانا	Keynolu, Evrenya		Aşağı Abana					http://www.geonames.org/ontology#A.ADMD			Kaza	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865				Sinop	Kastamonu eyâleti	141	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1945		İstefan	Sinop	Kastamonu	Kastamonu vilâyeti	Kaza	1945	Turkish Republic	1953					Kastamonu	Nahiye	1953	Turkish Republic	1968		Bozkurt	Kastamonu	Kastamonu	Kaza	1968	Turkish Republic					Kastamonu																																													
ABANO		20000	آبانو								http://www.geonames.org/ontology#P.PPLG	Not	https://www.wikidata.org/wiki/Q34603	Şehir							Venedik	İtalya																																																																																
ABBASİYE		7789	عباسيه											Kasaba							Kayrevan	Tunus																																																																																
ABDAL		10001	آبدال								http://www.geonames.org/ontology#P.PPLG			Kaza merkezi							Piraziz	Giresun																																																																																
ABDÜLVEHHAB		1000	عبدالوهاب								http://www.geonames.org/ontology#A.ADMD			Sancak	1539	http://n2t.net/ark:/99152/p0pf2qb689b						Yemen eyâleti	181																																																																															
ABDURRAHMAN BEYOBASI		10002	عبدالرحمن بک اوبه سی								http://www.geonames.org/ontology#P.PPLG			Nahiye			1944				Keskin	Ankara		Nahiye merkezi	1944	Turkish Republic	1989			Balışeyh	Kırıkkale	Ankara	Kaza merkezi	1989	Turkish Republic					Balışeyh	Kırıkkale																																																													
ABDURRAHMAN GAZİ		5007	عبدالرحمن غازی								http://www.geonames.org/ontology#A.ADMD			Nahiye				Kartal’ın nahiye dönemindeki adıdır.			Beykoz	İstanbul																																																																																
