ABADAN ,عبادان,Şehir#Şehir#Basra#İran (1847) (Erzurum Antlaşmasıyla İran’a verildi.)#
ABADYUT ,آباديوت,Köy (Köyler grubu) GiritYunanistan#
"ABANA (Keynolu, Evrenya) (Aşağı Abana) ",آبانا ,Kaza (1841)#Nahiye (1865)#Kaza (1945)#Nahiye (1953)#Kaza (1968)#SinopKastamonu eyâleti#İstefanSinopKastamonuKastamonu vilâyeti#Kastamonu#Bozkurt KastamonuKastamonu#Kastamonu#
ABANO ,آبانو ,Şehir Venedikİtalya#
ABBASİYE ,عباسيه ,Kasaba KayrevanTunus#
ABDAL ,آبدال,Kaza Mrk. PirazizGiresun#
ABDURRAHMAN BEYOBASI ,عبدالرحمن بک اوبه سی ,Nahiye#Nahiye Mrk. (1944)#Kaza Mrk. (1989)#KeskinAnkara#BalışeyhKırıkkaleAnkara#BalışeyhKırıkkale#
ABDURRAHMAN GAZİ ,عبدالرحمن غازی ,Nahiye (Kartal’ın nahiye#dönemindeki adıdır.)#Beykozİstanbul#
ABDÜLVEHHAB ,عبدالوهاب ,Sancak (1539) Yemen eyâleti#
ABES ,عبس,Nahiye (1871) HacurHudeydeYemen vilâyeti#
ABGÛR ,آبگور ,Kaza (Çınar ilçe merkezinde#kalmış olabilir)#DiyarbakırDiyarbakır eyâleti#
ABHA ,ابها ,Sancak Mrk. AsirYemen vilâyeti#
"ABHAZ (Sohumkale, Kutayis) ",ابخاز ,İtibari eyâlet (1578)#Muhtar idare (1804)#Muhtar idare (1810)#Abhaz eyâleti#Muhtar idare#Rusya yönetimi (Son dönemde Mrk. “Kutayis” idi.)#
ABONİ ,آبونی ,Şehir Macaristan
ABRENK ,آبرنک ,Nahiye (1877)#Köy#EğinMam.retülazizMam.retülaziz vilâyeti#MerkezKemaliye Erzincan
Âb-ı Safi (ALPSOFU) (KARAPÜRÇEK) ,آب صافی ,Kaza (1871)#Nahiye#Nahiye (1954)#KocaeliHudavendigâr eyâleti#Adapazarıİzmit#AkyazıSakarya#
ABŞEKER ,آب شکر ,Nahiye Mrk. AkdemirPertekTunceli#
ABUS ,عبوس ,Nahiye (1871) İbbTaizzYemen vilâyeti#
ABVİN ,عبوين ,Nahiye MerkezKudüsFilistin#
ACACI (Acacıhüyük) ,آجاجی ,Nahiye (1530)#Köy#ZileTokatSivasRum eyâleti#MerkezÇekerekYozgat#
ACAR (Svejen) ,آجار ,Kaza Mrk.#Köy#KaracadağFilibeBulgaristan#KarlıovaFilibeBulgaristan#
ACARETEYN (Acara-i Ulyâ ve Acara-i Süfl.) (ACARİSTAN) ,آجارتين ,Sancak (1578)#Kaza (1828)#Kaza (1878)#Kaza#Özerk bölge#Çıldır eyâleti#BatumTrabzon eyâleti#BatumRusya#Gürcistan#Gürcistan#
ACIGÖL ,آجی گول ,Nahiye#Kaza (1990)#MerkezNevşehir#Nevşehir#
"ACIPAYAM (Asikaraağaç, Garbîkaraağaç) ",آجی پايام ,Kaza (1530)#Kaza (1888)#Kaza (1924)#HamidAnadolu eyâleti#Denizli Aydın vilâyeti#Denizli#
ACIPINAR ,آجی پيگار ,Nahiye#Nahiye (1933)#Nahiye (1989)#AksarayNiğdeKonya vilâyeti#AksarayNiğde#MerkezAksaray#
ACISU ,آجی صو ,Nahiye(1865)#Köy#ZileTokatSivas vilâyeti#İğdir ZileTokat#
ACİLAT ,عجيلات ,Kaza TrablusgarbLibya#
ACİR ,عجير ,Nahiye El-HufûfNecd-i ŞerifBasra#
ACLUN VE SALHAD ,عجلون وصلحد ,Sancak (1517) Arap vilâyeti#
ACLUN ,عجلون ,Sancak (16.yy.)#Kaza (1865)#Kaza (1964)#Şam eyâleti#HavranSuriye vilâyeti#İrbitSuriye#
