İdârî Birimin Yeni Harflerle Adı 1	İdârî Birimin Yeni Harflerle Adı 2	İdârî Birimin Yeni Harflerle Adı 3	İdârî Birimin Yeni Harflerle Adı 4	İdârî Birimin Yeni Harflerle Adı 5	İdârî Birimin Yeni Harflerle Adı note	Eski Harflerle Adı	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli 1 4	Bagli 1 3	Bagli 1 2	Bagli 1 1	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 4	Bagli 2 3	Bagli 2 2	Bagli 2 1	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 4	Bagli 3 3	Bagli 3 2	Bagli 3 1	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 3	Bagli 4 2	Bagli 4 1	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 3	Bagli 5 2	Bagli 5 1	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 2	Bagli 6 1	Unvan 7	Unvan 7 year	Unvan 7 note	Bagli 7 2	Bagli 7 1	Unvan 8	Unvan 8 year	Unvan 8 note	Bagli 8 2	Bagli 8 1	Unvan 9	Unvan 9 year	Bagli 9 3	Bagli 9 2	Bagli 9 1	Unvan 10	Unvani 10 year	Bagli 10 2	Bagli 10 1	Unvan 11	Unvani 11 year	Bagli 11 2	Bagli 11 1	Unvan 12	Bagli 12	Unvan 13	Bagli 13	Unvan 14	Unvan 14 year	Bagli 14
ABADAN						عبادان	Şehir						Basra	Şehir	1847	Erzurum Antlaşmasıyla İran’a verildi.				İran																																																						
ABADYUT						آباديوت	Köy		Köyler grubu			Girit	Yunanistan																																																													
ABANA	Keynolu, Evrenya	Aşağı Abana				آبانا	Kaza	1841				Sinop	Kastamonu eyâleti	Nahiye	1865		İstefan	Sinop	Kastamonu	Kastamonu vilâyeti	Kaza	1945					Kastamonu	Nahiye	1953		Bozkurt	Kastamonu	Kastamonu	Kaza	1968				Kastamonu																																			
ABANO						آبانو	Şehir					Venedik	İtalya																																																													
ABBASİYE						عباسيه	Kasaba					Kayrevan	Tunus																																																													
ABDAL						آبدال	Kaza merkezi					Piraziz	Giresun																																																													
ABDURRAHMAN BEYOBASI						عبدالرحمن بک اوبه سی	Nahiye					Keskin	Ankara	Nahiye merkezi	1944			Balışeyh	Kırıkkale	Ankara	Kaza merkezi	1989				Balışeyh	Kırıkkale																																															
ABDURRAHMAN GAZİ						عبدالرحمن غازی	Nahiye		Kartal’ın nahiye dönemindeki adıdır.			Beykoz	İstanbul																																																													
ABDÜLVEHHAB						عبدالوهاب	Sancak	1539					Yemen eyâleti																																																													
ABES						عبس	Nahiye	1871			Hacur	Hudeyde	Yemen vilâyeti																																																													
ABGÛR						آبگور	Kaza		Çınar ilçe merkezinde kalmış olabilir			Diyarbakır	Diyarbakır eyâleti																																																													
ABHA						ابها	Sancak merkezi					Asir	Yemen vilâyeti																																																													
ABHAZ	Sohumkale, Kutayis					ابخاز	İtibari eyâlet	1578					Abhaz eyâleti	Muhtar idare	1804					Muhtar idare	Muhtar idare	1810	Son dönemde Mrk. “Kutayis” idi.)				Rusya yönetimi																																															
ABONİ						آبونی	Şehir						Macaristan																																																													
ABRENK						آبرنک	Nahiye	1877			Eğin	Mamûretülaziz	Mamûretülaziz vilâyeti	Köy				Merkez	Kemaliye	Erzincan																																																						
Âb-ı Safi	ALPSOFU	KARAPÜRÇEK				آب صافی	Kaza	1871				Kocaeli	Hudavendigâr eyâleti	Nahiye					Adapazarı	İzmit	Nahiye	1954				Akyazı	Sakarya																																															
ABŞEKER						آب شکر	Nahiye merkezi				Akdemir	Pertek	Tunceli																																																													
ABUS						عبوس	Nahiye	1871			İbb	Taizz	Yemen vilâyeti																																																													
ABVİN						عبوين	Nahiye				Merkez	Kudüs	Filistin																																																													
ACACI	Acacıhüyük					آجاجی	Nahiye	~1530		Zile	Tokat	Sivas	Rum eyâleti	Köy				Merkez	Çekerek	Yozgat																																																						
ACAR	Svejen					آجار	Kaza merkezi				Karacadağ	Filibe	Bulgaristan	Köy				Karlıova	Filibe	Bulgaristan																																																						
ACARETEYN	Acara-i Ulyâ ve Acara-i Süfl.	ACARİSTAN				آجارتين	Sancak	1578					Çıldır eyâleti	Kaza	1828				Batum	Trabzon eyâleti	Kaza	1878				Batum	Rusya	Kaza					Gürcistan	Özerk bölge					Gürcistan																																			
ACIGÖL						آجی گول	Nahiye					Merkez	Nevşehir	Kaza	1990					Nevşehir																																																						
ACIPAYAM	Asikaraağaç, Garbîkaraağaç					آجی پايام	Kaza	~1530				Hamid	Anadolu eyâleti	Kaza	1888				Denizli	Aydın vilâyeti	Kaza	1924					Denizli																																															
ACIPINAR						آجی پيگار	Nahiye				Aksaray	Niğde	Konya vilâyeti	Nahiye	1933				Aksaray	Niğde	Nahiye	1989				Merkez	Aksaray																																															
ACISU						آجی صو	Nahiye	1865			Zile	Tokat	Sivas vilâyeti	Köy				İğdir	Zile	Tokat																																																						
ACİLAT						عجيلات	Kaza					Trablusgarb	Libya																																																													
ACİR						عجير	Nahiye				El-Hufûf	Necd-i Şerif	Basra																																																													
ACLUN VE SALHAD						عجلون وصلحد	Sancak	1517					Arap vilâyeti																																																													
ACLUN						عجلون	Sancak	16. yy.					Şam eyâleti	Kaza	1865				Havran	Suriye vilâyeti	Kaza	1964				İrbit	Suriye																																															
ACUR	Acur Kal‘a					عجور	Sancak	17. yy.					Şehrizor eyâleti																																																													
ACÛZE						عجوزه	Nahiye				Merkez	Musul	Diyarbakır eyâleti																																																													
ACYUD	ADJUD					آجيود	Şehir				Botine	Boğdan	Romanya																																																													
AÇMİYAÇİN	Etchmiadzin					اچمياچين	Kaza		Ermenilerin en eski ve kutsal saydıkları manastırı bu kazadadır. Diğerleri Türkiye’de Sis ve Ahtamar manastırlarıdır.			Erivan	Ermenistan																																																													
ADA						آطه	Nahiye	1865			Merkez	Edirne	Edirne vilâyeti	Köy				Küplü	Meriç	Edirne																																																						
ADA						آطه	Ada					Bakis	Macaristan																																																													
Adagide	OVAKENT					آطه گيده	Nahiye					Ödemiş	İzmir																																																													
ADAKALE						آطه قلعه	Kaza merkezi	1949				Ardanuç	Artvin																																																													
ADAKALESİ						آطه قلعه سی	Nahiye	1846			Merkez	Vidin	Vidin eyâleti																																																													
ADAKLI						آداقلی	Nahiye merkezi				Göktaş	Borçka	Artvin																																																													
ADAKLI	Hösnek	Azakpert				آداقلی	Nahiye	1865			Kiğı	Erzurum	Erzurum	Nahiye	1936				Kiğı	Bingöl	Kaza	1990					Bingöl																																															
