Placename@tr	ottgaz_id	Placename@ott	Placename_2@tr	Placename_2@ott	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
A’YUC		اعيوج							Region			Nahiye				Cezire	Bağdad	Bağdad		Nahiye						Irak																																																						
A’ZAMİYE		اعظميه							Region			Kaza	18. yy.				Bağdad	Bağdad maa Şehrizor eyâleti	107																																																													
A’ZAZ		اعزاز							Region			Nahiye	1517				Halep	Arap vilâyeti	103	Nahiye	1865				Halep	Suriye vilâyeti																																																						
A’ZAZ FELLAH		اعزازفلاح							Region			Nahiye	1865			Kilis	Halep	Halep vilâyeti	129	Nahiye					Halep	Suriye																																																						
A’ZAZ TÜRKMEN		اعزازترکمان							Region			Kaza	19. yy.				Kilis	Halep eyâleti	129	Nahiye	1865				Kilis	Halep vilâyeti	Nahiye					Halep	Suriye																																															
Âb-ı Safi		آب صافی	ALPSOFU		KARAPÜRÇEK				Region			Kaza	1871				Kocaeli	Hudavendigâr eyâleti	133	Nahiye					Adapazarı	İzmit	Nahiye	1954				Akyazı	Sakarya																																															
ABADAN		عبادان							City		https://www.wikidata.org/wiki/Q63049	Şehir						Basra		Şehir	1847	Erzurum Antlaşmasıyla İran’a verildi.				İran																																																						
ABADYUT		آباديوت								Not		Köy		Köyler grubu			Girit	Yunanistan																																																														
ABANA		آبانا	Keynolu, Evrenya		Aşağı Abana				Region			Kaza	1841				Sinop	Kastamonu eyâleti	141	Nahiye	1865		İstefan	Sinop	Kastamonu	Kastamonu vilâyeti	Kaza	1945					Kastamonu	Nahiye	1953		Bozkurt	Kastamonu	Kastamonu	Kaza	1968				Kastamonu																																			
ABANO		آبانو							City	Not	https://www.wikidata.org/wiki/Q34603	Şehir					Venedik	İtalya																																																														
